class	typeFreq	suffix_sg.pfv	suffix_sg.ipfv	suffix_pl.pfv	suffix_pl.ipfv
NA	4	#	#	#	#
NA	2	#	am	#	#
NA	7	#	tim	#	#
NA	1	t	tim	#	#
NA	1	ta	tim	#	#
NA	1	ot	#	tox	#
NA	7	#	tim	ikoɬ	ikoɬ
NA	3	#	tim	k	ka
NA	1	#	am	ka	ka
NA	2	#	ka	ka	ka
NA	1	#	tim	ka	ka
NA	1	t	tim	#	kam
NA	1	#	#	k	kam
NA	8	#	tim	kam	kam
NA	2	tim	tim	kam	kam
NA	1	tam	tox	kam	kam
NA	2	#	k	kox	kam
NA	1	#	tim	tam	kam
NA	1	tim	tim	tox	kam
NA	1	tam	tox	tox	kam
NA	1	i	tim	kox	koɬka
NA	1	#	tim	x	koɬka
NA	1	#	#	#	k
NA	1	#	#	k	k
NA	15	#	tim	k	k
NA	16	#	tim	k	kox
NA	5	#	#	ka	kox
NA	1	#	tim	ka	kox
NA	2	#	#	kox	kox
NA	4	#	k	kox	kox
NA	6	#	ka	kox	kox
NA	1	ta	ka	kox	kox
NA	1	#	kam	kox	kox
NA	1	#	ta	kox	kox
NA	16	#	tim	kox	kox
NA	1	i	tim	kox	kox
NA	1	k	tim	kox	kox
NA	1	t	tim	kox	kox
NA	2	#	#	tox	kox
NA	1	#	ta	tox	kox
NA	1	#	tim	tox	kox
NA	1	#	tim	k	ɬ
NA	1	#	ɬ	ɬ	ɬ
NA	3	#	tim	ɬ	ɬ
NA	1	#	ta	k	ɬa
NA	1	#	tim	x	ɬiɬka
NA	1	#	#	#	ɬka
NA	1	k	#	#	ɬka
NA	3	#	tim	#	ɬka
NA	1	#	tim	i	ɬka
NA	6	#	#	k	ɬka
NA	1	k	#	k	ɬka
NA	3	#	ta	k	ɬka
NA	27	#	tim	k	ɬka
NA	2	k	tim	k	ɬka
NA	1	ot	tim	k	ɬka
NA	2	tax	tim	k	ɬka
NA	1	k	#	ɬ	ɬka
NA	1	#	ka	ɬ	ɬka
NA	5	#	ta	ɬ	ɬka
NA	19	#	tim	ɬ	ɬka
NA	1	ix	tim	ɬ	ɬka
NA	1	k	tim	ɬ	ɬka
NA	2	tim	tim	ɬ	ɬka
NA	2	#	#	ɬka	ɬka
NA	1	ot	#	ɬka	ɬka
NA	2	#	tim	ɬka	ɬka
NA	1	#	tim	tox	ɬka
NA	1	#	#	x	ɬka
NA	2	#	tim	x	ɬka
NA	2	#	tim	x	ɬkam
NA	1	#	tim	χam	ɬkam
NA	1	#	tim	k	ɬkox
NA	1	#	#	ɬka	ɬkox
NA	1	#	tim	χam	ɬoɬka
NA	1	ta	tim	tax	taɬk
NA	2	#	tim	tam	tix
NA	1	i	tim	tix	tix
NA	2	#	tim	to	to
NA	1	#	am	#	toɬka
NA	2	#	in	#	toɬka
NA	24	#	tim	#	toɬka
NA	2	ot	tim	#	toɬka
NA	1	t	tim	#	toɬka
NA	1	tim	tim	#	toɬka
NA	3	#	tim	at	toɬka
NA	1	#	tim	k	toɬka
NA	1	#	tim	kam	toɬka
NA	1	#	k	kox	toɬka
NA	3	#	tim	kox	toɬka
NA	1	#	#	ɬ	toɬka
NA	1	x	x	ɬka	toɬka
NA	2	#	am	t	toɬka
NA	16	#	tim	t	toɬka
NA	4	#	tim	ta	toɬka
NA	1	ta	tim	ta	toɬka
NA	2	#	tim	tam	toɬka
NA	2	#	ta	tax	toɬka
NA	15	#	tim	tax	toɬka
NA	9	#	tim	to	toɬka
NA	1	ot	tim	to	toɬka
NA	1	tim	tim	to	toɬka
NA	1	#	am	toɬka	toɬka
NA	2	ot	am	toɬka	toɬka
NA	1	#	ka	toɬka	toɬka
NA	1	#	t	toɬka	toɬka
NA	5	#	tim	toɬka	toɬka
NA	1	ot	tim	toɬka	toɬka
NA	2	tax	toɬka	toɬka	toɬka
NA	1	ta	tox	toɬka	toɬka
NA	2	#	#	tox	toɬka
NA	1	ot	#	tox	toɬka
NA	8	#	am	tox	toɬka
NA	1	an	an	tox	toɬka
NA	2	#	at	tox	toɬka
NA	1	at	at	tox	toɬka
NA	1	#	i	tox	toɬka
NA	1	#	ɬ	tox	toɬka
NA	1	#	om	tox	toɬka
NA	1	#	t	tox	toɬka
NA	4	#	ta	tox	toɬka
NA	1	ta	ta	tox	toɬka
NA	81	#	tim	tox	toɬka
NA	4	ot	tim	tox	toɬka
NA	3	t	tim	tox	toɬka
NA	1	ta	tim	tox	toɬka
NA	2	tim	tim	tox	toɬka
NA	1	#	to	tox	toɬka
NA	1	#	tox	tox	toɬka
NA	1	#	tim	tx	toɬka
NA	1	i	i	x	toɬka
NA	12	#	tim	x	toɬka
NA	1	ot	tim	x	toɬka
NA	1	#	tim	xam	toɬka
NA	1	#	tim	xox	toɬka
NA	1	t	tim	xox	toɬka
NA	3	#	tim	χam	toɬka
NA	4	#	tim	t	t
NA	1	#	am	ta	ta
NA	1	#	ta	ta	ta
NA	8	#	tim	ta	ta
NA	4	#	tim	ta	taɬka
NA	2	om	tim	ta	taɬka
NA	1	#	tim	taɬka	taɬka
NA	8	#	tim	tax	taɬka
NA	2	ta	tim	tax	taɬka
NA	1	i	tim	tix	taɬka
NA	1	#	at	tax	taɬkox
NA	1	#	tim	tax	taɬkox
NA	2	#	#	#	tam
NA	2	tim	i	#	tam
NA	36	#	tim	#	tam
NA	1	t	tim	#	tam
NA	1	tim	tim	#	tam
NA	1	#	tim	ix	tam
NA	1	i	tim	ix	tam
NA	1	#	tim	k	tam
NA	1	#	tim	ka	tam
NA	1	#	#	kox	tam
NA	2	#	k	kox	tam
NA	16	#	tim	kox	tam
NA	1	ka	tim	kox	tam
NA	10	#	tim	t	tam
NA	9	#	tim	ta	tam
NA	1	#	#	tam	tam
NA	2	#	am	tam	tam
NA	1	#	k	tam	tam
NA	1	tim	k	tam	tam
NA	1	#	ka	tam	tam
NA	1	tim	ta	tam	tam
NA	23	#	tim	tam	tam
NA	1	an	tim	tam	tam
NA	2	ta	tim	tam	tam
NA	16	tim	tim	tam	tam
NA	3	#	tim	tax	tam
NA	4	#	tim	tim	tam
NA	19	#	tim	to	tam
NA	3	#	#	tox	tam
NA	2	#	ta	tox	tam
NA	4	ta	ta	tox	tam
NA	26	#	tim	tox	tam
NA	1	ot	tim	tox	tam
NA	3	tim	tim	tox	tam
NA	1	#	tim	x	tam
NA	1	#	#	t	tax
NA	1	#	#	ta	tax
NA	1	am	am	tax	tax
NA	4	#	ta	tax	tax
NA	23	#	tim	tax	tax
NA	1	i	tim	tax	tax
NA	2	#	tim	tim	tim
NA	4	#	tim	#	tox
NA	1	ta	tim	#	tox
NA	3	#	am	i	tox
NA	1	#	tim	ɬka	tox
NA	1	#	#	t	tox
NA	2	#	tim	t	tox
NA	1	tim	tim	t	tox
NA	1	#	tim	ta	tox
NA	3	#	tim	tam	tox
NA	1	tim	tim	tam	tox
NA	1	#	i	to	tox
NA	3	#	tim	to	tox
NA	6	#	#	tox	tox
NA	1	#	am	tox	tox
